"Energy_kcal" "Protein_g" "Fat_g" "Carb_g" "Sugar_g" "Fiber_g"
351 8.7 1.5 84.7 22.7 10.3
338 12 1.4 79 12.4 11.2
358 9.4 0.7 83.5 20.5 5
357 5.59 0.4 87.3 23.89 10.1
395 6.3 2.14 87.6 37.4 2.9
397 5.77 0.89 89.72 51.34 2.6
398 4.46 9.97 74.68 32.7 4.4
365 10.48 0.49 77.2 0.7 2.9
368 8.82 0.47 80.52 28 1.8
390 9.63 2.16 82.21 38.73 5.6
393 4.63 2.57 83.51 47.18 2.2
402 4.09 3.05 89.4 45.2 1.1
388 9.39 2.07 82.9 17.89 10.5
404 3.9 3.15 90.1 42.6 1
367 5.83 1.05 85.79 9.51 2.6
357 5.9 0.91 88.01 7.84 2.7
379 5.94 0.95 86.78 13.79 1.5
378 6.06 1.08 86.85 10.35 1.4
381 6.45 1.27 86.04 8.35 0.7
381 5.59 4.4 84.4 36.79 5.3
367 7.1 2.9 85.3 32.1 8.1
337 11 1.5 81.4 11.3 11.8
369 10.39 3.29 80 22.5 8.1
336 11 1.4 79 16.5 10.7
352 8.7 1.6 84.6 22.7 10.2
378 7.7 4.2 83.2 30.4 9.3
384 8.9 5.9 76.6 25.5 11.1
373 9.33 4.14 78.56 23.12 6.3
397 4.44 4.83 85.92 44.31 2.6
400 6.67 5.23 81.75 30 6.7
413 8.5 8.7 77.4 22.5 7.4
379 16.79 9.9 66.9 22.2 15
356 11.8 2.8 81 5 11.7
353 11.1 5 73.8 25 12.5
356 11.39 5.09 73.59 23.79 12.7
355 11.61 1.41 71.79 0.47 4.4
359 11.77 1.47 72.63 0.51 4.4
386 5.09 9.89 78.19 21.39 11.2
366 5.6 5.7 82.8 21.2 10.2
381 5.8 4.59 84.19 32.2 5.9
381 6.5 7.3 81.2 29.9 10.6
383 5.4 4 85.5 25 4.3
375 13.1 5.4 74.8 18 11.3
410 5.7 7.3 83.3 41.6 3.9
365 11.6 4.9 78.5 15.69 13.2
350 10.7 1.9 80.8 16.9 10.7
375 5.5 4 84.69 33.09 6.1
380 5.8 5.09 83.5 34.09 6.2
412 4.8 8.4 81.1 26.2 2
403 5 6.59 82.4 26.1 2.4
344 5.8 5.8 82.69 20.79 19.1
375 7.5 6 81.2 24 10.3
363 6.9 1.5 86.3 26.7 8.6
376 10.2 6.5 78 19.2 12.2
355 10.8 2.2 82.5 14.8 9.5
332 7.8 4.09 82 20.29 17.9
354 9.4 4.3 81.9 21.8 28
362 7.8 1.8 85 26.4 8.6
374 5.9 4.3 84.6 37.1 7.1
385 6.7 3.9 83.3 33.5 2.4
349 8.8 1.6 84.6 22.5 10.8
352 8.6 1.6 84.8 22.7 10.2
342 8.8 1.8 82.1 17.8 10.6
402 4.41 5.66 85.14 43.82 2.5
418 9.21 11.06 74.73 27.43 9.9
373 9.17 4.06 78.86 24.9 6.3
395 4.6 3.99 87.1 44.18 2.6
354 8.5 3.4 81.4 22.29 10.9
380 11.3 4.83 78.04 16.82 8.3
394 7.9 5.1 81.8 20.7 7.8
410 8.19 9.8 76.19 27.1 5.5
382 6.2 5 83.3 26.1 5.8
378 8.5 4.6 80.7 27.9 7
358 11.26 6.11 69.45 11.91 8.8
367 16 6.3 67 1 9.8
376 10.16 7.46 71.57 17.66 8.3
358 10.29 5.64 72.17 17.78 9.7
364 6.4 3.9 83 18.2 8.3
369 8.9 3.1 82.5 22.1 6.2
374 8.5 3.5 83.09 22.6 6
364 7.7 3.4 82.8 22.2 7.1
371 7.8 3.4 83.3 22.1 6.1
397 7 11.1 76.1 35.7 9.9
371 7.8 2.3 82.4 3.7 2.7
399 7 5.4 82 21.9 5.2
350 11.91 5.46 75.27 12.25 16.6
333 7.41 3.7 84 18.52 18.5
397 7.1 11.2 75.9 36.3 10.6
387 5.1 3.5 85.1 38.1 1.4
378 4.3 2.8 89.6 51.1 7.4
397 5.9 7.8 83 33.9 9
399 6.7 4.9 83.3 24 5.4
400 7.1 5 82.8 20.4 5.8
375 6.3 6.09 83.2 28.1 9.4
387 6 6 82.69 32.79 6.2
348 7.9 6.8 79.5 22.1 18.2
387 9.1 5.4 79.5 29.1 7.5
378 6.5 5.69 82 20.89 7.3
400 3.29 5 83.3 53.29 3.3
350 8.81 1.92 79.4 18.44 10.3
390 7.59 3.04 84.08 22.09 6.2
379 7.8 4.88 77.26 20.26 6.1
349 7.57 3.6 77.95 32.43 5.9
342 8.8 1.8 82.1 17.8 10.6
408 4.69 6.45 82.8 26 2
410 5.19 10.1 78.59 29.39 4.8
368 9.25 4.73 76.67 30.28 7.2
407 5.69 8.5 81.59 31 11
390 6.8 6.19 82 32.5 6
387 9.39 1.89 83 13.19 7.5
371 8.3 3.29 83.09 24.79 8.5
376 7.63 5.61 80.1 21.53 9.1
361 16.37 6.2 64.25 1.25 13
361 16.5 6.16 64.42 1.29 12.6
366 8.79 4.8 75.67 14.7 22.3
386 9.81 9.8 69.47 18.71 7.7
390 8.18 10.36 70.53 29.36 7
353 11.31 4.4 72.58 20.43 8.5
387 10.1 9.84 68.61 24.85 7.4
